Title,Rating,Address,Period (nights),Price,Taxes and Charges
Apartments Almirante Goncalves,8.2 - Very Good - 380 reviews,"Copacabana, Rio de Janeiro",3,US$125,+US$19 taxes and charges
"LANÇAMENTO, APT com 2 SUÍTES na QUADRA da PRAIA",unknown,"Ipanema, Rio de Janeiro",3,US$377,Includes taxes and fees
Windsor Barra Hotel,"8.6 - Excellent - 3,301 reviews","Barra da Tijuca, Rio de Janeiro",3,US$511,+US$51 taxes and charges
Linda Cobertura c Piscina/Orla da Barra da Tijuca.,unknown,Rio de Janeiro,3,US$463,Includes taxes and fees
Hotel Atlantico Prime,"7.3 - Good - 24,029 reviews","Downtown Rio de Janeiro, Rio de Janeiro",3,US$191,+US$10 taxes and charges
Magnífica vista para o mar,9.4 - Wonderful - 33 reviews,"Barra da Tijuca, Rio de Janeiro",3,US$319,+US$39 taxes and charges
Windsor Marapendi Hotel,"8.9 - Excellent - 4,355 reviews","Barra da Tijuca, Rio de Janeiro",3,US$535,+US$53 taxes and charges
"Omar do Rio - Moderno 2Qts, a 350m da Praia de Ipanema, 500m da Praia de Copacabana, Internet 500mbps, Smart TV e WorkStation - FS 95-202A",unknown,"Copacabana, Rio de Janeiro",3,US$319,+US$50 taxes and charges
Deslumbrante vista para o mar,9.4 - Wonderful - 40 reviews,"Barra da Tijuca, Rio de Janeiro",3,US$319,+US$39 taxes and charges
"APARTAMENTO COPACABANA, 4 QUARTOS, 3 banheiros",9.4 - Wonderful - 27 reviews,"Copacabana, Rio de Janeiro",3,US$347,+US$37 taxes and charges
Rio Spot Homes T037 Ocean View,10 - Exceptional - 1 review,"Copacabana, Rio de Janeiro",3,US$588,+US$48 taxes and charges
"Apartment in Ipanema Beach 100m2, near metro",9.5 - Exceptional - 11 reviews,"Ipanema, Rio de Janeiro",3,US$151,Includes taxes and fees
Temporada RJ Bora Bora Resort,9.5 - Exceptional - 15 reviews,"Barra da Tijuca, Rio de Janeiro",3,US$388,+US$37 taxes and charges
Hilton Copacabana Rio de Janeiro,"8.5 - Very Good - 3,017 reviews","Copacabana, Rio de Janeiro",3,US$995,+US$94 taxes and charges
Apto 2 quartos novo,unknown,"Jacarepagua, Rio de Janeiro",3,US$463,Includes taxes and fees
Windsor Plaza Copacabana,"7.9 - Good - 1,464 reviews","Copacabana, Rio de Janeiro",3,US$389,+US$39 taxes and charges
Sheraton Grand Rio Hotel & Resort,"8.6 - Excellent - 3,034 reviews","Leblon, Rio de Janeiro",3,"US$1,212",+US$183 taxes and charges
Hotel Atlântico Avenida,"5.3 - Review score - 8,305 reviews","Downtown Rio de Janeiro, Rio de Janeiro",3,US$110,+US$6 taxes and charges
Apartamento próximo ao Rock in Rio,unknown,"Barra da Tijuca, Rio de Janeiro",3,US$463,Includes taxes and fees
Emiliano Rio,9.2 - Wonderful - 510 reviews,"Copacabana, Rio de Janeiro",3,"US$1,484",Includes taxes and fees
Hotel Atlântico Rio,"7.2 - Good - 12,434 reviews","Copacabana, Rio de Janeiro",3,US$281,+US$14 taxes and charges
PortoBay Rio de Janeiro,"9.0 - Wonderful - 1,901 reviews","Copacabana, Rio de Janeiro",3,US$796,Includes taxes and fees
Copacabana 3 suites em andar alto com vista mar,7.7 - Good - 30 reviews,"Copacabana, Rio de Janeiro",3,US$290,+US$47 taxes and charges
"Copacabana, Rio de Janeiro, a 80 metros da praia",9.3 - Wonderful - 65 reviews,"Copacabana, Rio de Janeiro",3,US$130,+US$29 taxes and charges
"Linda cobertura duplex de 2 quartos com terraço, piscina e vista para Ipanema!",9.5 - Exceptional - 2 reviews,"Copacabana, Rio de Janeiro",3,US$407,+US$60 taxes and charges
